gene	BB9	BB10	BB17	BB19	BB20	BB21	BB11	BB12	BB18	reflen
yeeD.t01	81.3673	102.175	104.69	180.295	119.223	105.329	188.882	99.0391	117.89	228
yeeE.t01	530.616	373.33	514.928	363.292	519.042	380.065	787.198	602.301	588.188	1059
yeeJ.t01	3385.33	2659.31	3745.79	2582.96	2530.35	3005.04	3260.58	3924.95	3383.85	7077
yeeN.t01	1507.35	1682.2	2045.21	2146.13	1866.42	1810.97	4005.19	1798.82	2228.13	717
yeeO.t01	702.507	589.633	904.426	596.727	663.757	721.949	734.913	923.686	643.192	1488
yeeR.t01	690.854	1576.69	921.52	522.218	1012.35	639.256	769.6	1338.08	583.654	1533
yeeS.t01	140.872	170.151	168.375	166.402	171.984	135.833	141.723	186.663	154.415	447
yeeT.t01	98.6788	66.642	93.6629	119.629	36.2415	113.61	126.025	99.9724	105.82	222
yeeX.t01	6401.37	6188.72	6249.57	6516.35	6738.27	6873.11	4577.43	2786.09	3881.06	330
yeeY.t01	446.309	344.398	483.81	572.103	572.143	526.906	578.988	518.459	513.544	930
yeeZ.t01	584.786	512.519	671.559	615.86	551.76	549.118	576.394	564.779	571.407	825
yefM.t01	204.944	149.278	199.016	98.7369	116.39	148.826	165.334	101.365	151.166	252
yegD.t01	544.431	544.489	823.927	536.236	539.158	609.941	603.671	706.898	666.725	1353
yegE.t01	1790.26	1540.66	2069.79	2381.24	2286.79	2094.37	2061.5	2309.95	1754.52	3318
yegH.t01	902.796	808.093	971.925	838.744	795.212	809.784	865.981	969.231	774.719	1584
yegI.t01	999.317	893.089	1053.43	808.866	883.998	901.7	903.579	1250.38	972.305	1947
yegJ.t01	194.735	201.298	230.1	159.725	255.705	182.104	232.189	300.436	291.515	462
yegK.t01	344.928	253.034	366.988	219.255	240.146	292.221	300.316	452.057	317.142	762
yegL.t01	324.866	300.738	302.255	290.648	273.315	258.22	357.736	391.992	386.183	660
yegP.t01	162.314	171.972	205.82	553.449	548.311	351.392	385.181	260.63	328.586	333
yegQ.t01	1443.39	1233.12	1374.07	1477.72	1408.19	1167.51	957.253	896.629	1081.61	1362
yegR.t01	112.644	168.109	200.09	178.032	144.527	131.874	278.025	220.288	164.572	318
yegS.t01	433.48	411.932	534.049	1455.38	1440.49	1258.14	674.411	710.012	617.767	900
yegT.t01	629.374	609.226	708.535	521.907	567.541	610.055	517.405	770.947	528.567	1278
yegU.t01	504.061	434.834	462.233	471.496	430.779	530.994	536.074	552.033	420.309	1005
yegV.t01	387.388	299.528	405.834	403.88	364.42	460.885	366.658	463.032	487.347	966
yegW.t01	485.339	445.97	566.455	460.481	425.238	364.252	454.7	494.631	348.157	747
yegX.t01	478.485	330.085	501.45	341.064	332.896	354.071	418.365	547.113	391.828	819
yehA.t01	431.209	420.368	444.406	308.747	348.772	384.371	610.798	571.786	347.354	1035
yehB.t01	1117.87	1098.06	1000.7	937.94	974.604	1142.83	1246.28	1534.66	955.557	2481
yehC.t01	351.851	283.99	270.352	272.627	228.023	265.879	322.551	522.019	334.71	720
yehD.t01	207.196	249.379	243.595	164.486	206.779	313.964	214.977	447.008	192.458	543
yehE.t01	180.041	177.405	203.719	895.079	767.694	641.855	552.768	280.719	243.251	282
yehI.t01	1868.84	1687.87	1659.48	1578.93	1704.09	1873.21	2013.94	2618.62	1869.19	3633
yehK.t01	142.265	143.512	192.449	93.5082	109.311	213.395	157.525	219.324	146.592	318
yehL.t01	466.335	453.342	571.503	435.149	488.486	525.656	525.926	648.702	579.059	1089
yehM.t01	906.777	932.618	1078.57	821.261	893.206	1073.78	1099.49	1497.99	994.066	2280
yehP.t01	513.632	445.614	461.481	430.953	512.226	636.685	554.763	625.044	521.893	1137
yehR.t01	227.273	230.894	274.506	217.908	192.115	243.492	315.388	317.623	200.918	462
yehS.t01	1648.33	2064.21	2276.8	1233.11	1167.59	1126.66	699.647	611.626	671.411	471
